time,open,high,low,close,Fast_MA,Slow_MA,Crossover,Bias,Market_bias,ltf_bias,Range,Entry,Level,SL,TP
2024-11-20 04:00:00,0.65352,0.65376,0.65217,0.65223,0.6525326,0.6591680666666666,0.0,Bearish,Bearish,Bearish,0.0049800000000000955,Sell,0.62425,0.62725,0.61425
2024-11-21 16:00:00,0.65257,0.65321,0.64969,0.65163,0.650584,0.658143,0.0,Bearish,Bearish,Bearish,0.004724600000000079,Sell,0.62191,0.62491,0.61191
2024-11-22 00:00:00,0.65103,0.65211,0.6507,0.65156,0.6503264,0.6578971333333334,0.0,Bearish,Bearish,Bearish,0.004706800000000011,Sell,0.62133,0.62433,0.61133
2024-11-22 04:00:00,0.65155,0.65195,0.64868,0.64891,0.650222,0.6577758,0.0,Bearish,Bearish,Bearish,0.0026097999999999955,Sell,0.62311,0.62611,0.61311
2024-11-22 08:00:00,0.6489,0.65183,0.6471,0.64878,0.6500516000000001,0.6576337333333333,0.0,Bearish,Bearish,Bearish,0.0012389999999999901,Sell,0.62421,0.62721,0.61421
2024-11-22 12:00:00,0.64879,0.65078,0.64815,0.65028,0.6498942,0.6574845333333333,0.0,Bearish,Bearish,Bearish,0.0028175999999999757,Sell,0.62237,0.62537,0.61237
2024-11-22 16:00:00,0.65029,0.65079,0.64814,0.65011,0.6497994,0.6573446666666667,0.0,Bearish,Bearish,Bearish,0.003295000000000048,Sell,0.62164,0.62464,0.61164
2024-11-22 20:00:00,0.6501,0.65052,0.6494,0.64998,0.6497164,0.6572063333333333,0.0,Bearish,Bearish,Bearish,0.002134999999999887,Sell,0.62255,0.62555,0.61255
2024-11-25 00:00:00,0.6534,0.65494,0.65213,0.65354,0.649615,0.6570691333333334,0.0,Bearish,Bearish,Bearish,0.0028049999999999464,Sell,0.62163,0.62463,0.61163
2024-11-25 04:00:00,0.65354,0.6539,0.65162,0.65197,0.6496536,0.6569544666666667,0.0,Bearish,Bearish,Bearish,0.001366199999999984,Sell,0.62282,0.62582,0.61282
2024-11-25 08:00:00,0.65197,0.65228,0.64979,0.65147,0.6496302,0.6568316666666667,0.0,Bearish,Bearish,Bearish,0.0023864000000000107,Sell,0.62159,0.62459,0.61159
2024-11-25 12:00:00,0.65146,0.6527,0.64967,0.65247,0.6495868,0.6567142666666667,0.0,Bearish,Bearish,Bearish,0.0019508000000000303,Sell,0.6218,0.6248,0.6118
2024-11-25 16:00:00,0.65246,0.65258,0.6487,0.6491,0.6495712,0.6566029333333333,0.0,Bearish,Bearish,Bearish,0.003541200000000022,Sell,0.62002,0.62302,0.61002
2024-11-25 20:00:00,0.64908,0.65056,0.64906,0.65031,0.6494894000000001,0.6564906,0.0,Bearish,Bearish,Bearish,0.004858800000000052,Sell,0.61849,0.62149,0.60849
2024-11-26 00:00:00,0.65002,0.65066,0.64334,0.64671,0.649434,0.6563871333333333,0.0,Bearish,Bearish,Bearish,0.004703799999999925,Sell,0.61837,0.62137,0.60837
2024-11-26 08:00:00,0.64886,0.64968,0.64736,0.64849,0.6494011999999999,0.6561306666666666,0.0,Bearish,Bearish,Bearish,0.0016424000000000438,Sell,0.62112,0.62412,0.61112
2024-11-26 12:00:00,0.64847,0.6507,0.64813,0.64826,0.6494032,0.6560017333333333,0.0,Bearish,Bearish,Bearish,0.0011261999999999661,Sell,0.62161,0.62461,0.61161
2024-11-26 16:00:00,0.64827,0.64837,0.64505,0.64547,0.6494411999999999,0.6558668666666666,0.0,Bearish,Bearish,Bearish,0.0010153999999998886,Sell,0.62172,0.62472,0.61172
2024-11-26 20:00:00,0.64547,0.64749,0.64474,0.64733,0.6494236,0.6557149333333334,0.0,Bearish,Bearish,Bearish,0.0011841999999999686,Sell,0.6215,0.6245,0.6115
2024-11-27 00:00:00,0.64738,0.64846,0.64573,0.64721,0.649442,0.6555767333333333,0.0,Bearish,Bearish,Bearish,0.0024800000000000377,Sell,0.62013,0.62313,0.61013
2024-11-27 04:00:00,0.64719,0.64827,0.64643,0.64722,0.6494316000000001,0.6554447333333333,0.0,Bearish,Bearish,Bearish,0.0026488000000000067,Sell,0.61987,0.62287,0.60987
