time,open,high,low,close,Fast_MA,Slow_MA,Crossover,Bias,Market_bias,ltf_bias,Range,Entry,Level,SL,TP
2024-11-25 00:00:00,154.133,154.383,153.648,153.765,154.95948,153.37408000000002,0.0,Bullish,Bullish,Bullish,0.1650600000000111,Buy,156.776,156.77300000000002,156.786
2024-11-25 16:00:00,153.928,154.517,153.632,154.319,154.90938,153.49286,0.0,Bullish,Bullish,Bullish,0.15013999999999328,Buy,157.011,157.008,157.021
2024-11-25 20:00:00,154.325,154.34,153.995,154.164,154.89788000000001,153.51821333333334,0.0,Bullish,Bullish,Bullish,0.42965999999998417,Buy,157.358,157.35500000000002,157.368
2024-11-26 00:00:00,154.201,154.486,153.837,154.054,154.89098,153.54052000000001,0.0,Bullish,Bullish,Bullish,0.122460000000018,Buy,157.121,157.11800000000002,157.131
2024-11-29 04:00:00,149.937,150.394,149.762,150.103,153.64714,153.58032000000003,0.0,Bullish,Bullish,Bullish,0.18352000000001567,Buy,157.514,157.51100000000002,157.524
2024-11-29 12:00:00,150.156,150.361,149.831,149.964,153.47748,153.55765333333335,0.0,Bearish,Bullish,Bullish,0.49987999999999033,Buy,157.863,157.86,157.873
2024-11-29 16:00:00,149.963,150.529,149.581,149.598,153.38834,153.54462,0.0,Bearish,Bullish,Bullish,0.2266599999999812,Buy,157.607,157.604,157.617
2024-11-29 20:00:00,149.602,149.719,149.465,149.66,153.305,153.52728666666667,0.0,Bearish,Bullish,Bullish,0.28231999999999857,Buy,157.673,157.67000000000002,157.683
2024-12-02 00:00:00,149.65,150.553,149.475,150.53,153.22878,153.50977333333333,0.0,Bearish,Bullish,Bullish,0.29567999999997596,Buy,157.696,157.693,157.706
2024-12-03 20:00:00,149.206,149.593,148.962,149.53,152.0807,153.26162666666667,0.0,Bearish,Bullish,Bullish,0.13141999999999143,Buy,157.655,157.65200000000002,157.665
2024-12-04 16:00:00,151.069,151.129,149.994,150.168,151.6591,153.16480666666666,0.0,Bearish,Bullish,Bullish,0.3807199999999966,Buy,157.931,157.92800000000003,157.941
2024-12-05 00:00:00,150.52,150.775,150.186,150.536,151.49736,153.1258,0.0,Bearish,Bullish,Bullish,0.10374000000001615,Buy,157.669,157.66600000000003,157.679
2024-12-05 04:00:00,150.528,150.557,149.785,149.932,151.41296,153.10610666666668,0.0,Bearish,Bullish,Bullish,0.12548000000001025,Buy,157.695,157.692,157.70499999999998
2024-12-17 04:00:00,154.103,154.256,153.8,154.132,151.79912000000002,152.76613333333336,0.0,Bearish,Bearish,Bearish,0.005479999999977281,Sell,156.449,156.452,156.43900000000002
2024-12-20 08:00:00,157.045,157.128,156.621,156.718,153.57026,152.7278,0.0,Bullish,Bearish,Bearish,0.2807199999999739,Sell,155.485,155.488,155.47500000000002
2024-12-20 12:00:00,156.717,156.842,156.354,156.516,153.67838,152.73682,0.0,Bullish,Bearish,Bearish,0.04344000000000392,Sell,155.701,155.70399999999998,155.691
2024-12-20 16:00:00,156.512,156.775,155.951,156.069,153.79004,152.74475333333334,0.0,Bullish,Bearish,Bearish,0.28245999999998617,Sell,155.447,155.45,155.437
2024-12-20 20:00:00,156.069,156.466,155.974,156.423,153.87949999999998,152.75667333333334,0.0,Bullish,Bearish,Bearish,0.23633999999998423,Sell,155.491,155.494,155.48100000000002
2024-12-23 00:00:00,156.312,156.691,156.288,156.457,153.97452,152.77077333333332,0.0,Bullish,Bearish,Bearish,0.1078600000000165,Sell,155.607,155.60999999999999,155.597
2024-12-23 04:00:00,156.441,156.658,156.337,156.647,154.06145999999998,152.78318000000002,0.0,Bullish,Bearish,Bearish,0.2533600000000149,Sell,155.46,155.463,155.45000000000002
2024-12-23 16:00:00,157.216,157.266,156.982,157.157,154.36618,152.82510666666667,0.0,Bullish,Bearish,Bearish,0.36766000000000076,Sell,155.344,155.34699999999998,155.334
2024-12-23 20:00:00,157.159,157.208,157.049,157.07,154.4557,152.84148666666667,0.0,Bullish,Bearish,Bearish,0.2913000000000068,Sell,155.423,155.426,155.413
2024-12-24 04:00:00,157.126,157.179,156.889,157.002,154.64376000000001,152.87775333333332,0.0,Bullish,Bearish,Bearish,0.4828199999999754,Sell,155.215,155.218,155.205
2024-12-27 00:00:00,157.882,158.002,157.657,157.743,155.773,153.08212666666665,0.0,Bullish,Bearish,Bearish,0.198599999999999,Sell,155.18,155.183,155.17000000000002
2024-12-27 12:00:00,157.876,157.877,157.58,157.794,156.01716,153.14575333333335,0.0,Bullish,Bearish,Bearish,0.37566000000001054,Sell,155.002,155.005,154.99200000000002
2024-12-30 04:00:00,157.793,157.959,157.698,157.856,156.32004,153.23324,0.0,Bullish,Bearish,Bearish,0.18771999999998457,Sell,155.109,155.112,155.09900000000002
2024-12-30 08:00:00,157.856,158.073,157.805,157.874,156.39526,153.25559333333334,0.0,Bullish,Bearish,Bearish,0.0176400000000001,Sell,155.249,155.25199999999998,155.239
2025-01-14 04:00:00,157.441,157.748,157.363,157.58,157.65542000000002,155.73282,0.0,Bullish,Bearish,Bearish,0.4228999999999985,Sell,152.004,152.00699999999998,151.994
2025-01-14 16:00:00,157.777,158.197,157.62,158.133,157.68560000000002,155.89039999999997,0.0,Bullish,Bearish,Bearish,0.46410000000000196,Sell,151.933,151.93599999999998,151.923
2025-01-14 20:00:00,158.132,158.139,157.866,157.951,157.71244000000002,155.94518666666664,0.0,Bullish,Bearish,Bearish,0.34449999999998226,Sell,152.038,152.041,152.02800000000002
2025-01-15 00:00:00,157.923,158.084,157.823,157.9,157.73492,155.99842,0.0,Bullish,Bearish,Bearish,0.24168000000003076,Sell,152.14,152.14299999999997,152.13
2025-01-23 16:00:00,156.196,156.474,155.863,155.916,156.32496,156.89345333333333,0.0,Bearish,Bearish,Bearish,0.36447999999998615,Sell,149.966,149.969,149.95600000000002
2025-01-24 04:00:00,156.321,156.415,155.001,155.363,156.25745999999998,156.94463333333334,0.0,Bearish,Bearish,Bearish,0.3883999999999901,Sell,149.83,149.833,149.82000000000002
2025-01-29 08:00:00,155.016,155.405,155.001,155.344,155.71166,156.83595333333332,0.0,Bearish,Bearish,Bearish,0.31994000000000256,Sell,149.371,149.374,149.36100000000002
2025-02-05 08:00:00,153.43,153.45,152.645,152.841,155.01136,156.31030666666666,0.0,Bearish,Bearish,Bearish,0.01403999999999428,Sell,148.607,148.60999999999999,148.597
2025-02-05 16:00:00,153.043,153.205,152.111,152.289,154.89562,156.25376000000003,0.0,Bearish,Bearish,Bearish,0.4586999999999932,Sell,148.126,148.129,148.116
2025-02-05 20:00:00,152.289,152.767,152.245,152.589,154.8297,156.22154666666665,0.0,Bearish,Bearish,Bearish,0.35723999999999023,Sell,148.185,148.188,148.175
2025-02-06 00:00:00,152.545,152.752,151.809,152.023,154.75508000000002,156.19173333333336,0.0,Bearish,Bearish,Bearish,0.37898000000001275,Sell,148.114,148.117,148.104
2025-02-06 08:00:00,152.418,152.894,152.403,152.663,154.60976,156.12324666666666,0.0,Bearish,Bearish,Bearish,0.24108000000001084,Sell,148.149,148.152,148.139
2025-02-21 16:00:00,150.433,150.439,149.198,149.215,152.04862,153.71470666666664,0.0,Bearish,Bullish,Bullish,0.11498000000000275,Buy,149.974,149.971,149.98399999999998
2025-02-24 16:00:00,149.784,149.819,149.188,149.579,151.65528,153.44749333333334,0.0,Bearish,Bullish,Bullish,0.03606000000002041,Buy,149.889,149.88600000000002,149.899
2025-03-05 20:00:00,148.866,149.141,148.738,148.85,149.6125,151.72129999999999,0.0,Bearish,Bearish,Bearish,0.06745999999998276,Sell,147.681,147.684,147.67100000000002
2024-11-25 00:00:00,154.133,154.383,153.648,153.765,154.95948,153.37408000000002,0.0,Bullish,Bullish,Bullish,0.1650600000000111,Buy,156.776,156.77300000000002,156.786
2024-11-25 16:00:00,153.928,154.517,153.632,154.319,154.90938,153.49286,0.0,Bullish,Bullish,Bullish,0.15013999999999328,Buy,157.011,157.008,157.021
2024-11-25 20:00:00,154.325,154.34,153.995,154.164,154.89788000000001,153.51821333333334,0.0,Bullish,Bullish,Bullish,0.42965999999998417,Buy,157.358,157.35500000000002,157.368
